,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,description_lengths_cleaned,description_cleaned
74744,78555,France,with some tannins and with bright red fruits  this wine is structured and has attractive acidity  a perfumed wine with a fruity future  it will be ready to drink from      ,UNKNOWN,87,26,Burgundy,Marsannay,UNKNOWN,Roger Voss,@vossroger,Louis Latour 2014  Marsannay,Pinot Noir,Louis Latour,14,tannin bright red fruit wine structur attract acid perfum wine fruiti futur readi drink
74792,78625,US,here s a big  bold pinot of tremendous fruity extract  although it s a bit heavy and soft  it s very delicious  offering waves of cherries  pomegranates and smoked meat  accented with sandalwood  advances the cause of pinot noir grown in this southern napa valley region  which is almost in the carneros ,Estate Grown,89,38,California,Oak Knoll District,Napa,UNKNOWN,UNKNOWN,Monticello Vineyards 2009 Estate Grown Pinot Noir (Oak Knoll District),Pinot Noir,Monticello Vineyards,30,big bold pinot tremend fruiti extract although bit heavi soft delici offer wave cherri pomegran smoke meat accent sandalwood advanc caus pinot noir grown southern napa valley region almost carnero
74855,78698,US,this wine is aging out quickly and will not meet reserve level expectations for most consumers  the fruit tastes a little cooked and the tannins have a strong stemmy character  drink up ,Estate Reserve,83,15,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Dragonfly Creek 2011 Estate Reserve Pinot Noir (Willamette Valley),Pinot Noir,Dragonfly Creek,17,wine age quickli meet reserv level expect consum fruit tast littl cook tannin strong stemmi charact drink
75034,78889,US,this wine comes from hillside vineyards in the far northern reaches of california s grape growing counties  it has an unusually dark color for pinot  the ripe and fruity aromas are accented by oaky spices and flavors that bring out black cherry and clove notes  it s full bodied  mouth filling and flavorful ,Alder Springs Vineyard,90,50,California,Mendocino County,UNKNOWN,Jim Gordon,@gordone_cellars,Spell 2015 Alder Springs Vineyard Pinot Noir (Mendocino County),Pinot Noir,Spell,32,wine come hillsid vineyard far northern reach california grape grow counti unusu dark color pinot ripe fruiti aroma accent oaki spice flavor bring black cherri clove note full bodi mouth fill flavor
75165,79043,US,a big wine  ripe and explosive in fruit  maybe too fruity  almost a bomb  raspberries and cherries  sweetened with oak  dominate  could use greater subtlety and restraint  not to mention grounding earthiness ,Home Vineyard,87,26,California,Santa Lucia Highlands,Central Coast,UNKNOWN,UNKNOWN,Manzoni 2010 Home Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Manzoni,22,big wine ripe explos fruit mayb fruiti almost bomb raspberri cherri sweeten oak domin could use greater subtleti restraint mention ground earthi
75207,79085,US,this brilliant wine is supremely focused from the aroma to the finish  like a laser beam of rich and concentrated bing cherry flavor  the purity of the fruit makes it delicious to taste  and to feel the burst of cherry spread from the bright aromas on to the palate and to linger on the finish  drink after      when it should broaden a bit ,The West End,94,60,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,E16 2014 The West End Pinot Noir (Anderson Valley),Pinot Noir,E16,31,brilliant wine suprem focus aroma finish like laser beam rich concentr bing cherri flavor puriti fruit make delici tast feel burst cherri spread bright aroma palat linger finish drink broaden bit
75314,79194,Chile,solid pinot noir at this price isn t something you find every day  plum  cherry and earthy spice notes are varietally on target  this feels round  but with adequate acidity and good balance  light oak flavors accent cherry and red plum notes  while this tastes slightly green on the finish ,Special Release Reserva,87,12,Casablanca Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Aresti 2014 Special Release Reserva Pinot Noir (Casablanca Valley),Pinot Noir,Aresti,33,solid pinot noir price someth find everi day plum cherri earthi spice note variet target feel round adequ acid good balanc light oak flavor accent cherri red plum note tast slightli green finish
75362,79258,France,with vineyards south of the michelin tire city of clermont ferrand  this producer is on the edge of the volcanoes of the puy de d me  the wine  lightly fruity with fresh wild berry flavors  is soft and fruity  ready to drink young  just wait until early      ,Nymphéa,86,20,Loire Valley,UNKNOWN,UNKNOWN,Roger Voss,@vossroger,Domaine Sauvat 2015 Nymphéa Pinot Noir,Pinot Noir,Domaine Sauvat,26,vineyard south michelin tire citi clermont ferrand produc edg volcano puy de wine lightli fruiti fresh wild berri flavor soft fruiti readi drink young wait earli
75422,79318,France,firm tannins form the backdrop to this potentially rich and full wine  bitter cherry and wild raspberry flavors give a young and fruity character  still integrating with the structure  give this concentrated wine several years and drink from      ,Les Riottes,89,43,Burgundy,Pommard,UNKNOWN,Roger Voss,@vossroger,Domaine Parigot 2013 Les Riottes  (Pommard),Pinot Noir,Domaine Parigot,26,firm tannin form backdrop potenti rich full wine bitter cherri wild raspberri flavor give young fruiti charact still integr structur give concentr wine sever year drink
75526,79422,US,the raspberry jam  mocha and toasty oak flavors of this block selection from the estate vineyard make the wine especially delicious  it shows the brisk acidity of the arroyo grande  with a light  silky texture and a brown sugary finish  not an ager  so drink soon for the sheer fruity opulence ,La Coupelle,89,60,California,Arroyo Grande Valley,Central Coast,UNKNOWN,UNKNOWN,Laetitia 2010 La Coupelle Pinot Noir (Arroyo Grande Valley),Pinot Noir,Laetitia,31,raspberri jam mocha toasti oak flavor block select estat vineyard make wine especi delici show brisk acid arroyo grand light silki textur brown sugari finish ager drink soon sheer fruiti opul
75621,79530,Chile,after an initial wave of briny rubbery aromas  this turns towards lively raspberry scents topped by toasty oak  fresh and punchy in the mouth  with elegance  this tastes of red raspberry and herbal plum  a lightly salty finish with tomato and plum flavors is fresh and lasting ,UNKNOWN,91,25,Aconcagua Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Errazuriz 2015 Pinot Noir (Aconcagua Valley),Pinot Noir,Errazuriz,30,initi wave brini rubberi aroma turn toward live raspberri scent top toasti oak fresh punchi mouth eleg tast red raspberri herbal plum lightli salti finish tomato plum flavor fresh last
75744,79668,US,a sweaty smell opens the wine  followed with light strawberry and leafy herb notes  in the mouth the wine is thin and tart  with a hard  tannic finish  there isn t any stuffing  and it lacks the elegance and precision that could take the place of mere power  what s left is leafy  herbal and astringent  but charmless  two bottles tasted ,Vintage Reserve,83,34,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Oak Knoll 2005 Vintage Reserve Pinot Noir (Willamette Valley),Pinot Noir,Oak Knoll,34,sweati smell open wine follow light strawberri leafi herb note mouth wine thin tart hard tannic finish stuf lack eleg precis could take place mere power left leafi herbal astring charmless two bottl tast
75810,79737,US,earth and mushroom dominate this lighter style wine  offering aromas and flavors of forest floor and fresh soil  and even a taste of black tea shyly dancing in the background  well balanced and complex  it has a silky texture and long  smooth finish ,Sangiacomo Vineyard,89,42,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,La Follette 2012 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,La Follette,28,earth mushroom domin lighter style wine offer aroma flavor forest floor fresh soil even tast black tea shyli danc background well balanc complex silki textur long smooth finish
76446,80444,France,powerful  with tannins that are seamlessly woven into the fruitiness  this is a rounded  ripe and concentrated wine  the berry fruits and the juicy damsons are as important as the generous  soft texture  the wine will develop over the medium term  drink from      ,UNKNOWN,92,180,Burgundy,Clos de Vougeot,UNKNOWN,Roger Voss,@vossroger,Manuel Olivier 2011  Clos de Vougeot,Pinot Noir,Manuel Olivier,22,power tannin seamlessli woven fruiti round ripe concentr wine berri fruit juici damson import gener soft textur wine develop medium term drink
76549,80558,US,gentle and silky  this pinot noir has perfumes of rose petals  ripe red cherries  flat cola and sandalwood  plus a hint of grilled bacon  it tastes as sweetly delicious as it smells  and it feels round  supple and polished  so easy to drink now  but you might miss the complexity if you do ,MK Vineyard,92,71,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Small Vines 2010 MK Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Small Vines,30,gentl silki pinot noir perfum rose petal ripe red cherri flat cola sandalwood plu hint grill bacon tast sweetli delici smell feel round suppl polish easi drink might miss complex
76610,80627,US,very big  very rich  almost a fruit store in itself  offers a wild ride of intensely ripe  extracted cherries  currants  blackberries and blueberries that taste like jam spread on buttery toast  then sprinkled with cinnamon and cocoa  also fairly tannic and full bodied  lacks some delicacy  but delicious and dramatic ,Garys' Vineyard,91,49,California,Santa Lucia Highlands,Central Coast,UNKNOWN,UNKNOWN,Siduri 2007 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Siduri,33,big rich almost fruit store offer wild ride intens ripe extract cherri currant blackberri blueberri tast like jam spread butteri toast sprinkl cinnamon cocoa also fairli tannic full bodi lack delicaci delici dramat
76771,80807,US,very ripe  sweet and oaky  tasting almost like a dessert wine  or at least a melted cherry and plum pastry  delicious in an obvious way  but lacks complexity  and doesn t seem like an ager  drink up ,Starr Ridge Vineyard,86,50,California,Russian River Valley,Sonoma,UNKNOWN,UNKNOWN,Gary Farrell 2008 Starr Ridge Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell,22,ripe sweet oaki tast almost like dessert wine least melt cherri plum pastri delici obviou way lack complex seem like ager drink
76967,81025,US,a blend of sean thackrey s four pinot clones  all grown in one block of the wentzel vineyard  this wine is a baby still  soft and lush and ready to develop further  interesting to taste now  with hints of each of its clonal brethren  give this wine another     years and see which has taken front row ,Cassiopeia Wentzel Vineyard,90,45,California,Anderson Valley,UNKNOWN,Virginie Boone,@vboone,Sean Thackrey 2010 Cassiopeia Wentzel Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Sean Thackrey,31,blend sean thackrey four pinot clone grown one block wentzel vineyard wine babi still soft lush readi develop interest tast hint clonal brethren give wine anoth year see taken front row
76981,81039,Argentina,smoky cherry and earth aromas are the opening salvo on this bullish yet well made wine  expect a full mouthfeel that wraps itself around toasty  creamy flavors of chocolaty plum and spiced tea  barda excels on its lively finish  which is long  properly acidic and spicy tasting ,Barda,90,30,Other,Patagonia,UNKNOWN,Michael Schachner,@wineschach,Bodega Chacra 2011 Barda Pinot Noir (Patagonia),Pinot Noir,Bodega Chacra,32,smoki cherri earth aroma open salvo bullish yet well made wine expect full mouthfeel wrap around toasti creami flavor chocolati plum spice tea barda excel live finish long properli acid spici tast
77115,81184,France,still young with its fresh raspberry acidity all in place  this is a fragrant and perfumed wine  a core of tannins hold its place  while it is the bright fruit and generous texture that are most marked  the aftertaste is fresh  fruity and has the structure for aging  drink from      ,Les Feusselottes Premier Cru,91,43,Burgundy,Chambolle-Musigny,UNKNOWN,Roger Voss,@vossroger,Henri de Villamont 2012 Les Feusselottes Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont,24,still young fresh raspberri acid place fragrant perfum wine core tannin hold place bright fruit gener textur mark aftertast fresh fruiti structur age drink
77146,81224,US,with a soft  heavy mouthfeel and hot  candied raspberry and cherry flavors  this reserve pinot is a disappointment  it s okay  but tastes like a simple little pinot noir for drinking now ,Reserve,86,60,California,Carneros,Napa-Sonoma,UNKNOWN,UNKNOWN,Robert Mondavi 2009 Reserve Pinot Noir (Carneros),Pinot Noir,Robert Mondavi,19,soft heavi mouthfeel hot candi raspberri cherri flavor reserv pinot disappoint okay tast like simpl littl pinot noir drink
77160,81239,France,this ripe and fruity wine comes from faiveley s wholly owned vineyard in mercurey  a touch of tannin gives structure to the cherry fruits and ripe acidity  it s a rounded wine to drink now  but better to age until      ,Clos de Myglands Premier Cru,90,45,Burgundy,Mercurey,UNKNOWN,Roger Voss,@vossroger,Domaine Faiveley 2011 Clos de Myglands Premier Cru  (Mercurey),Pinot Noir,Domaine Faiveley,22,ripe fruiti wine come faiveley wholli own vineyard mercurey touch tannin give structur cherri fruit ripe acid round wine drink better age
77166,81248,France,the wine has the firmness of a pommard along with ripe fruits full of sweetness and acidity  that makes it structured and with a good future  while being totally fruity at the same time  drink from      ,UNKNOWN,89,60,Burgundy,Pommard,UNKNOWN,Roger Voss,@vossroger,Bouchard Père & Fils 2011  Pommard,Pinot Noir,Bouchard Père & Fils,17,wine firm pommard along ripe fruit full sweet acid make structur good futur total fruiti time drink
77314,81422,US,not showing much now  beyond good berry and orange fruit  smooth tannins and fine acidity  it s a wine you d easily bypass in a big tasting  in favor of a more muscular style  but then  showiness in youth has never been calera s forte  should slowly gain bottle complexity over the years  best           ,Thirtieth Anniversary Vintage Reed Vineyard,90,50,California,Mt. Harlan,Central Coast,UNKNOWN,UNKNOWN,Calera 2005 Thirtieth Anniversary Vintage Reed Vineyard Pinot Noir (Mt. Harlan),Pinot Noir,Calera,30,show much beyond good berri orang fruit smooth tannin fine acid wine easili bypass big tast favor muscular style showi youth never calera fort slowli gain bottl complex year best
77363,81485,France,based in les riceys in the aube region  this producer has taken advantage of the ripe pinot noir to produce a ripe  juicy and fruity champagne  with fine acidity to cut the generous crisp pear and melon flavors  the wine is balanced  accessible and ready ,Cuvée de Réserve Brut,89,55,Champagne,Champagne,UNKNOWN,Roger Voss,@vossroger,Gallimard Père et Fils NV Cuvée de Réserve Brut Pinot Noir (Champagne),Pinot Noir,Gallimard Père et Fils,28,base le ricey aub region produc taken advantag ripe pinot noir produc ripe juici fruiti champagn fine acid cut gener crisp pear melon flavor wine balanc access readi
77391,81513,France,ripe  soft red cherry fruits are linked to a light texture and soft tannins in this ready to drink wine  the final acidity brings out the attractive fruitiness of this fresh wine  drink now ,Les Villots,87,24,Loire Valley,Sancerre,UNKNOWN,Roger Voss,@vossroger,Jean Reverdy et Fils 2013 Les Villots  (Sancerre),Pinot Noir,Jean Reverdy et Fils,21,ripe soft red cherri fruit link light textur soft tannin readi drink wine final acid bring attract fruiti fresh wine drink
77489,81623,US,the vineyard is near sebastopol and the green valley  and the wine shows its cool climate origins in the brisk terroir that gives the raspberry  sweet red cherry and persimmon fruit such bite  it s enormously attractive to drink now for sheer lusciousness  but has the integrity to age for       years  perhaps longer  depending on your taste for older pinot ,Hallberg Vineyard,92,55,California,Russian River Valley,Sonoma,UNKNOWN,UNKNOWN,Gary Farrell 2010 Hallberg Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell,34,vineyard near sebastopol green valley wine show cool climat origin brisk terroir give raspberri sweet red cherri persimmon fruit bite enorm attract drink sheer luscious integr age year perhap longer depend tast older pinot
77917,82096,US,this value brand makes a number of west coast pinots  with mixed results  here are very strong  dominating flavors of vanilla and breakfast tea  of the sort often associated with oak additions during the winemaking process  don t look for any specific willamette valley character here  it s a light generic red  tasting mostly of vanilla ,UNKNOWN,85,15,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Castle Rock 2015 Pinot Noir (Willamette Valley),Pinot Noir,Castle Rock,33,valu brand make number west coast pinot mix result strong domin flavor vanilla breakfast tea sort often associ oak addit winemak process look specif willamett valley charact light gener red tast mostli vanilla
78047,82257,US,well balanced and moderately flavorful  this wine feels quenching and appetizing at the same time but needs time to round off its rough edges  it s not overwhelmingly fruity or oaky  but has compact  concentrated red cherry and rhubarb and a good firm grip of tannin and fruit acidity  it will be best after      ,Weir Vineyard,92,48,California,Yorkville Highlands,North Coast,Jim Gordon,@gordone_cellars,Spell 2014 Weir Vineyard Pinot Noir (Yorkville Highlands),Pinot Noir,Spell,29,well balanc moder flavor wine feel quench appet time need time round rough edg overwhelmingli fruiti oaki compact concentr red cherri rhubarb good firm grip tannin fruit acid best
78148,82382,US,the fermentation of this white pinot  which eliminates skin contact  hence color   also removes any hint of varietal flavor  in other words  this tastes not at all like regular  red pinot noir  it s more along the lines of a stainless steel fermented chardonnay  with that grape s simple neutrality first and foremost ,White,86,22,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Left Coast Cellars 2014 White Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars,31,ferment white pinot elimin skin contact henc color also remov hint variet flavor word tast like regular red pinot noir along line stainless steel ferment chardonnay grape simpl neutral first foremost
78175,82431,US,smells and tastes overoaked  with toothpicky vanilla and smoky char notes  the amount of new french wood was      the jammy raspberry  cherry and currant fruit just isn t intense or complex enough to support all that weight  drink now ,Durell Vineyard,86,44,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Pali 2008 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Pali,23,smell tast overoak toothpicki vanilla smoki char note amount new french wood jammi raspberri cherri currant fruit intens complex enough support weight drink
78490,82766,France,this is a blanc de noirs  white sparkling wine made from red grapes  in this case pinot noir  that gives both richness and a tense acidity to a ripe  fully fruity wine  spiced pear flavors partner with vanilla and youthful acidity  it could bottle age to mid      to bring out its best ,Brut,90,22,Burgundy,Crémant de Bourgogne,UNKNOWN,Roger Voss,@vossroger,Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Pinot Noir,Bailly-Lapierre,33,blanc de noir white sparkl wine made red grape case pinot noir give rich tens acid ripe fulli fruiti wine spice pear flavor partner vanilla youth acid could bottl age mid bring best
78590,82874,US,an absolutely lovely pinot  the best in gainey s long career  dry  smooth and silky  it defines pinot s more burgundian side  with mushroomy notes along with perfectly ripe cherries and raspberries  accented with brilliant acidity  the oak treatment is tasteful and blends in seamlessly  offering a hint of toast  the wine treads an exciting line between ripeness and earthiness  while keeping alcohol to a refreshingly low        this is a connoisseur s wine ,Limited Selection,95,48,California,Sta. Rita Hills,Central Coast,UNKNOWN,UNKNOWN,Gainey 2008 Limited Selection Pinot Noir (Sta. Rita Hills),Pinot Noir,Gainey,44,absolut love pinot best gainey long career dri smooth silki defin pinot burgundian side mushroomi note along perfectli ripe cherri raspberri accent brilliant acid oak treatment tast blend seamlessli offer hint toast wine tread excit line ripe earthi keep alcohol refreshingli low connoisseur wine
78672,82963,US,the wine s greenness shows its cool atlas peak origins as well as the lack of ripeness in the chilly vintage  it tastes of mint inflected raspberry tea  and is very dry ,UNKNOWN,86,28,California,Napa Valley,Napa,UNKNOWN,UNKNOWN,Rossi Wallace 2011 Pinot Noir (Napa Valley),Pinot Noir,Rossi Wallace,18,wine green show cool atla peak origin well lack ripe chilli vintag tast mint inflect raspberri tea dri
78677,82968,US,this tastes and feels a little heavy and sweet  with prominent cherry candy flavors  it s quite tasty  but one dimensional in its appeal  drink now it s hard to see it devloping much in the bottle ,Sierra Mar Vineyard,86,55,California,Santa Lucia Highlands,Central Coast,UNKNOWN,UNKNOWN,Bernardus 2010 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,20,tast feel littl heavi sweet promin cherri candi flavor quit tasti one dimension appeal drink hard see devlop much bottl
78718,83011,US,offers dependable pinot noir character  with a silky texture  crisp acidity and fruity flavors that are elegantly dry  but it s not the best example of what the winery can do  it s very acidic  a trait that won t age away  drink now ,UNKNOWN,87,35,California,Carneros,Napa-Sonoma,UNKNOWN,UNKNOWN,Frank Family 2011 Pinot Noir (Carneros),Pinot Noir,Frank Family,21,offer depend pinot noir charact silki textur crisp acid fruiti flavor elegantli dri best exampl wineri acid trait age away drink
78734,83038,France,this is a light colored wine  with structure and acidity to balance the perfumed cherry flavored fruit  still young  still developing its fruitiness  the wine is going to be crisp with attractive strawberry flavors and soft tannins  drink from      ,Aux Champs Perdrix Premier Cru,89,70,Burgundy,Nuits-St.-Georges,UNKNOWN,Roger Voss,@vossroger,Domaine Chevillon-Chezeaux 2014 Aux Champs Perdrix Premier Cru  (Nuits-St.-Georges),Pinot Noir,Domaine Chevillon-Chezeaux,24,light color wine structur acid balanc perfum cherri flavor fruit still young still develop fruiti wine go crisp attract strawberri flavor soft tannin drink
78741,83045,France,st phane brocard is based in marsannay the northernmost vineyard in burgundy s c te d or  this wine comes from two small parcels with    year old vines  it is already fruity and attractive  although the tannins do promise aging  crisp with the pure acidity of the vintage  it will develop well and should be drunk from late      ,Closerie des Alisiers Vieilles Vignes,89,35,Burgundy,Marsannay,UNKNOWN,Roger Voss,@vossroger,Maison Stéphane Brocard 2014 Closerie des Alisiers Vieilles Vignes  (Marsannay),Pinot Noir,Maison Stéphane Brocard,33,st phane brocard base marsannay northernmost vineyard burgundi c te wine come two small parcel year old vine alreadi fruiti attract although tannin promis age crisp pure acid vintag develop well drunk late
78949,83284,US,there s funky earthiness to this otherwise ripe and full bodied wine  a taste of raspberry and strawberry hulls contributing additional wildness  cola and dark cherry contribute secondary flavors around moderate acidity ,UNKNOWN,86,40,California,Bennett Valley,Sonoma,Virginie Boone,@vboone,Frostwatch 2012 Pinot Noir (Bennett Valley),Pinot Noir,Frostwatch,23,funki earthi otherwis ripe full bodi wine tast raspberri strawberri hull contribut addit wild cola dark cherri contribut secondari flavor around moder acid
79203,83547,Germany,silky succulent raspberry and cherry flavors are a luscious counterpoint to the razor s edge of acidity that frames this impeccably balanced wine  it s ripe  fruity and forward  yet offers surprising elegance and length  drink now through      ,Estate Bottled Trocken,90,18,Rheingau,UNKNOWN,UNKNOWN,Anna Lee C. Iijima,UNKNOWN,Dr. Nägler 2014 Estate Bottled Trocken Pinot Noir (Rheingau),Pinot Noir,Dr. Nägler,23,silki succul raspberri cherri flavor lusciou counterpoint razor edg acid frame impecc balanc wine ripe fruiti forward yet offer surpris eleg length drink
79242,83603,Chile,starts with creamy  oak based aromas of milk chocolate and mocha  yet the fruit notes below are kind of short and briary  flavors of strawberry also come with sharper hints of rhubarb  while the finish is medium in length  balanced and tastes of chocolate  not a bad effort for chile        cases made ,Reserva Especial,86,19,Limarí Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Viña Tabalí 2007 Reserva Especial Pinot Noir (Limarí Valley),Pinot Noir,Viña Tabalí,32,start creami oak base aroma milk chocol mocha yet fruit note kind short briari flavor strawberri also come sharper hint rhubarb finish medium length balanc tast chocol bad effort chile case made
79393,83770,US,a fruity  spicy  vibrant pinot noir  easy to like for its richness  yet balanced and elegant  if a little direct in its appeal  it shows jammy flavors of raspberries  cherries and blackberries  with hints of cola and anisette liqueur and a sweet coating of sandalwood  drink it now ,The Famous Gate,91,68,California,Carneros,Napa-Sonoma,UNKNOWN,UNKNOWN,Domaine Carneros 2008 The Famous Gate Pinot Noir (Carneros),Pinot Noir,Domaine Carneros,28,fruiti spici vibrant pinot noir easi like rich yet balanc eleg littl direct appeal show jammi flavor raspberri cherri blackberri hint cola anisett liqueur sweet coat sandalwood drink
79401,83778,US,offering value and full bodied flavor  this wine sources grapes from price family  durell and wildcat canyon  among others  it finds a way to be earthy and herbal while also fruity  a leathery texture and medium acidity combine for likable complexity  the wine ultimately retaining its savory bones ,UNKNOWN,89,35,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Head High 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Head High,33,offer valu full bodi flavor wine sourc grape price famili durel wildcat canyon among other find way earthi herbal also fruiti leatheri textur medium acid combin likabl complex wine ultim retain savori bone
79416,83793,US,fruit from the cummings vineyard and thale s vineyard is represented in this wine  a varietal expression of floral  fruity aromas and flavors  it s thick  concentrated and wrapped in smoky oak  chocolate cherry makes it seem luxuriously ripe and lush ,UNKNOWN,89,42,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacRostie 2014 Pinot Noir (Russian River Valley),Pinot Noir,MacRostie,25,fruit cum vineyard thale vineyard repres wine variet express floral fruiti aroma flavor thick concentr wrap smoki oak chocol cherri make seem luxuri ripe lush
79430,83807,US,this tiny production wine from a great vineyard sings in a layered perfume of roses  forest floor  pomegranate and more nuanced elements of cola and dark cherry  bright and elegant within a substantive body  it is inviting in equal measures of plant  fruit and spice  showing tremendous taste ,Chenoweth Vineyard,93,43,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Mersenne 2013 Chenoweth Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Mersenne,31,tini product wine great vineyard sing layer perfum rose forest floor pomegran nuanc element cola dark cherri bright eleg within substant bodi invit equal measur plant fruit spice show tremend tast
79457,83835,US,thick and syrupy  with candied raspberry and cherry flavors  a simple  soft little pinot noir that tastes as sweet as a pastry ,UNKNOWN,82,15,California,Central Coast,Central Coast,UNKNOWN,UNKNOWN,Jackhammer 2010 Pinot Noir (Central Coast),Pinot Noir,Jackhammer,14,thick syrupi candi raspberri cherri flavor simpl soft littl pinot noir tast sweet pastri
79458,83836,US,this wine is ripe in raspberry and cherry flavors  but it feels heavy  the sweetness and lack of structure make it taste like wine candy ,UNKNOWN,82,13,California,California,California Other,UNKNOWN,UNKNOWN,Leese-Fitch 2010 Pinot Noir (California),Pinot Noir,Leese-Fitch,15,wine ripe raspberri cherri flavor feel heavi sweet lack structur make tast like wine candi
79488,83866,France,with some earthy aromas  this is a rich wine  it has weight  layers of wood and attractive strawberry flavor  the fruitiness is contained within a firm tannin shell that suggests the wine could age ,Clos de la Faille,89,25,Alsace,Alsace,UNKNOWN,Roger Voss,@vossroger,Domaine Albert Mann 2009 Clos de la Faille Pinot Noir (Alsace),Pinot Noir,Domaine Albert Mann,20,earthi aroma rich wine weight layer wood attract strawberri flavor fruiti contain within firm tannin shell suggest wine could age
79585,83963,US,for calera s least expensive pinot  this is pretty darned nice stuff  it s packed with true varietal character  from the pale color to the spicy  fruity  tomato infused flavors to the silky tannins and crisp acids  it s what people want in a delicate yet assertive wine  and defines central coast pinot in a general sense ,UNKNOWN,87,20,California,Central Coast,Central Coast,UNKNOWN,UNKNOWN,Calera 1999 Pinot Noir (Central Coast),Pinot Noir,Calera,35,calera least expens pinot pretti darn nice stuff pack true variet charact pale color spici fruiti tomato infus flavor silki tannin crisp acid peopl want delic yet assert wine defin central coast pinot gener sens
79694,84114,US,this pinot tastes warm  soft and seemingly sweet like a cherry cola drink without the carbonation making it feel syrupy ,Rancho Santa Rosa Vineyard,85,45,California,Sta. Rita Hills,Central Coast,UNKNOWN,UNKNOWN,Longoria 2010 Rancho Santa Rosa Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Longoria,15,pinot tast warm soft seemingli sweet like cherri cola drink without carbon make feel syrupi
79722,84156,France,pinot noir thrives in the aube region giving rich wines like this  it has a yeasty aroma which follows through to the ripe fruity palate  the wine is warm  while still crisp and tangy  this bottling is ready to drink ,Blanc de Noirs Brut,89,53,Champagne,Champagne,UNKNOWN,Roger Voss,@vossroger,Jean Laurent NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Jean Laurent,23,pinot noir thrive aub region give rich wine like yeasti aroma follow ripe fruiti palat wine warm still crisp tangi bottl readi drink
79861,84295,US,fruity and forward  with a spritzy mouthfeel  this is like a bowl of cherries  with a cherry candy finish  highlights of orange and grapefruit come through also  drink now through      ,3 Clones,88,40,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Vidon Vineyard 2013 3 Clones Pinot Noir (Chehalem Mountains),Pinot Noir,Vidon Vineyard,16,fruiti forward spritzi mouthfeel like bowl cherri cherri candi finish highlight orang grapefruit come also drink
79951,84385,Chile,spunky and sweet smelling  with a touch of stemmy pepper to the nose  the palate is narrow but fruity  with your standard allotment of zesty red fruit flavors along with mellow spice  finishes short  with drying tannins  good but lacks nuance and sophistication ,Clava,86,13,Casablanca Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Quintay 2008 Clava Pinot Noir (Casablanca Valley),Pinot Noir,Quintay,27,spunki sweet smell touch stemmi pepper nose palat narrow fruiti standard allot zesti red fruit flavor along mellow spice finish short dri tannin good lack nuanc sophist
79956,84390,France,there are plenty of dry tannins here  dominating light red berry and hedgerow fruits  it is never going to be a big wine  but the tannins should soften in a year to leave a fresh  fruity wine ,UNKNOWN,86,47,Burgundy,Bourgogne Hautes Côtes de Nuits,UNKNOWN,Roger Voss,@vossroger,Domaine Jayer-Gilles 2007  Bourgogne Hautes Côtes de Nuits,Pinot Noir,Domaine Jayer-Gilles,20,plenti dri tannin domin light red berri hedgerow fruit never go big wine tannin soften year leav fresh fruiti wine
